Company Name,Company Type,Website
16J Organics,Bath & Bodycare,https://www.16jorganics.com/
25th and June,Nailcare,https://www.25thandjune.com/
27th Street Bakery,Food,https://27thstreetbakery.com/
5 Twelve (V-XII),Accessories,shop5twelve.com
A Luxe Design,Health,http://www.aluxedesign.com/
A Taste of Cakery,Food,https://www.facebook.com/aTasteofCakery/
Aakasha’s Naturals,Health,http://aakashasnaturals.com/
Aaks,Accessories,https://www.aaksonline.com/
Aba Love Apothecary,Skincare,https://www.abaloveapothecary.com/
Abstract Fiber,Textiles,http://www.abstractfiber.com/
Abundance Bakery,Food,https://www.facebook.com/abuncobakery/
AcARRE,Beauty,https://www.acarre.co/
Accented Glory,Accessories,https://www.accentedglory.com/
Adjourn TeaHouse,Coffee & Tea,https://www.adjournteahouse.com/shopadjourntea
Adorned By Chi,Apparel,https://shop.adornedbychi.com/
Adwoa,Beauty,https://adwoabeauty.com/
Aesthetic By Sarah,Health,http://www.aesthetixbysarah.com/
African American College Alliance,Apparel,https://www.aacaApparel.com/search?q=Miskeen&type=product
Afro Product,Skincare,https://www.afroproduct.com/
Air In Candles,Candle,https://www.arynterry.com/airin-candles/
AJ Crimson Beauty,Cosmetics,https://ajcrimson.com/
Alaffia,Bath & Bodycare,https://www.alaffia.com/
Alchemy Bath & Body Shop,Bath & Bodycare,https://www.alchemyBath & Bodyshop.com/
Alexandra Winbush,Candle,https://www.alexandrawinbush.com/
Aminah Abdul Jillil,Footwear,aminahabduljillil.com
Ancient Cosmetics,Cosmetics,https://ancientcosmeticz.com/
Andra Hall Living,Food,https://andrahallliving.com/
Andrea Iyamah,Swimwear,https://www.andreaiyamah.com/collections/swimwear
Angel’s Essence,Beauty,http://www.angelsessence.shop/
Anita Grant,Health,https://anitagrant.com/
Antik Lakay,Candle,https://www.antiklakay.com/shop
Apprenti Organik,Bath & Bodycare,https://apprentiorganik.com/collections/all-products
"Aquarius Herbs & Teas, LLC.",Health,https://www.etsy.com/shop/AquariusHerbsandTeas
Arbria Creations,Beauty,http://arbriacreations.com/
Asa White Designs Coloring Books,Literature,http://www.asawhitedesigns.com/
Ashanti Swimwear,Swimwear,https://www.ashantiswimwear.com/
Ashera Swimwear,Apparel,https://asherahswimwear.com/
Asherah Swimwear,Swimwear,https://asherahswimwear.com/
Asili + Co,Beauty,https://www.etsy.com/shop/AsiliCo
Asymble,Services,http://asymblepa.com/
Aziza Handcrafted,Apparel,https://azizahandcrafted.com/
B Fyne,Swimwear,https://bfyne.com/collections/swimwear
Bariki Bath & Body Care,Beauty,https://barikiBath & Bodycare.com/
Basbaas,Food,https://basbaassauce.com/
Base Butter,Skincare,https://www.basebutter.com/
Base Butter,Skincare,https://www.basebutter.com/collections/all
Basic Butta,Bath & Body,https://basicbutta.square.site/
Basket Treats By Alexis Streets,Food,http://baskettreatsbyalexisstreets.com/index.html
Bassy Collection,Apparel,http://bassycollection.com/
Bath Savvy,Bath & Body,https://www.bathsavvy.com/
Be Transcendent Skin,Skincare,https://betranscendentskin.com/collections
Beads Byaree,Accessories,https://beadsbyaree.com/
Beauty Bakerie Makeup,Cosmetics,https://www.beautybakerie.com/
Beauty by Dr. Kari,Hair,https://www.beautybydrkari.com/
Beija Flor Naturals,Bath & Body,https://www.beijaflornaturals.com/
Bekura,Bath & Bodycare,https://www.bekurabeauty.com/
Bellurelle,Bath & Bodycare,https://bellurelle.com/
Beneath Your Mask,Skincare,https://beneathyourmask.com/
Beneath Your Mask,Skincare,https://beneathyourmask.com/
Bessie and Lovie,Beauty,http://www.bessieandlovie.com/
Bethany E. Photography,Services,http://www.bethanyephotography.com/
Bey Moss,Health,https://beymoss.com/
Big Man Bakes,Food,http://bigmanbakes.com/story.htm
Big Red’s Hot Sauce,Food,https://bigredshotsauce.com/
Black Art Tees,Apparel,https://www.etsy.com/shop/BlackArtTees
Black Girl Sunscreen,Skincare,https://www.blackgirlsunscreen.com/product/black-girl-sunscreen-spf-30/
BlackLux,Apparel,http://blackluxonline.com/
Blending Souls Bath & Body Co.,Skincare,https://blendingsoulsbathBath & Body.com/
Blessed Designs,Apparel,http://blesseddesignsco.com/
BLK & Bold,Food,https://blkandbold.com/
BLK + GRN,Health,https://blkgrn.com/
BLK MKT Vintage,Vintage,https://www.blkmktvintage.com/
Blue Zaria,Services,http://www.bluezaria.com/
Bath & Body And Soul Naturally,Health,https://www.Bath & Bodyandsoulnaturally.com/
Boldbeat Textiles,Decor,https://www.boldbeat-textiles.com/
Bolé Road Textiles,Textiles,https://boleroadtextiles.com/
Bomb'd Aesthetics,Bath & Body,https://www.lovebombd.com/
